time,x,y
0.842,344.917,361.104
0.843,344.923,361.119
0.844,344.929,361.133
0.845,344.935,361.148
0.846,344.941,361.163
0.847,344.946,361.178
0.848,344.952,361.193
0.849,344.958,361.208
0.850,344.964,361.223
0.851,344.970,361.237
0.852,344.976,361.252
0.853,344.982,361.267
0.854,344.987,361.282
0.855,344.993,361.297
0.856,344.999,361.312
0.857,345.005,361.326
0.858,345.011,361.341
0.859,345.017,361.356
0.860,345.022,361.371
0.861,345.028,361.386
0.862,345.034,361.401
0.863,345.040,361.416
0.864,345.046,361.430
0.865,345.052,361.445
0.866,345.057,361.460
0.867,345.063,361.475
0.868,345.069,361.490
0.869,345.075,361.505
0.870,345.081,361.520
0.871,345.087,361.534
0.872,345.092,361.549
0.873,345.098,361.564
0.874,345.104,361.579
0.875,345.110,361.594
0.876,345.116,361.609
0.877,345.122,361.623
0.878,345.128,361.638
0.879,345.133,361.653
0.880,345.139,361.668
0.881,345.145,361.683
0.882,345.151,361.698
0.883,345.157,361.713
0.884,345.163,361.727
0.885,345.168,361.742
0.886,345.174,361.757
0.887,345.180,361.772
0.888,345.186,361.787
0.889,345.192,361.802
0.890,345.198,361.817
0.891,345.203,361.831
0.892,345.209,361.846
0.893,345.215,361.861
0.894,345.221,361.876
0.895,345.227,361.891
0.896,345.233,361.906
0.897,345.238,361.920
0.898,345.244,361.935
0.899,345.250,361.950
0.900,345.256,361.965
0.901,345.262,361.980
0.902,345.268,361.995
0.903,345.274,362.010
0.904,345.279,362.024
0.905,345.285,362.039
0.906,345.291,362.054
0.907,345.297,362.069
0.908,345.303,362.084
0.909,345.309,362.099
0.910,345.314,362.114
0.911,345.320,362.128
0.912,345.326,362.143
0.913,345.332,362.158
0.914,345.338,362.173
0.915,345.344,362.188
0.916,345.349,362.203
0.917,345.355,362.217
0.918,345.361,362.232
0.919,345.367,362.247
0.920,345.373,362.262
0.921,345.379,362.277
0.922,345.384,362.292
0.923,345.390,362.307
0.924,345.396,362.321
0.925,345.402,362.336
0.926,345.408,362.351
0.927,345.414,362.366
0.928,345.420,362.381
0.929,345.425,362.396
0.930,345.431,362.411
0.931,345.437,362.425
0.932,345.443,362.440
0.933,345.449,362.455
0.934,345.455,362.470
0.935,345.460,362.485
0.936,345.466,362.500
0.937,345.472,362.514
0.938,345.478,362.529
0.939,345.484,362.544
0.940,345.490,362.559
0.941,345.495,362.574
0.942,345.501,362.589
0.943,345.507,362.604
0.944,345.513,362.618
0.945,345.519,362.633
0.946,345.525,362.648
0.947,345.530,362.663
0.948,345.536,362.678
0.949,345.542,362.693
0.950,345.548,362.708
0.951,345.554,362.722
0.952,345.560,362.737
0.953,345.566,362.752
0.954,345.571,362.767
0.955,345.577,362.782
0.956,345.583,362.797
0.957,345.589,362.811
0.958,345.595,362.826
0.959,345.601,362.841
0.960,345.606,362.856
0.961,345.612,362.871
0.962,345.618,362.886
0.963,345.624,362.901
0.964,345.630,362.915
0.965,345.636,362.930
0.966,345.641,362.945
0.967,345.647,362.960
0.968,345.653,362.975
0.969,345.659,362.990
0.970,345.665,363.005
0.971,345.671,363.019
0.972,345.676,363.034
0.973,345.682,363.049
0.974,345.688,363.064
0.975,345.694,363.079
0.976,345.700,363.094
0.977,345.706,363.108
0.978,345.712,363.123
0.979,345.717,363.138
0.980,345.723,363.153
0.981,345.729,363.168
0.982,345.735,363.183
0.983,345.741,363.198
0.984,345.747,363.212
0.985,345.752,363.227
0.986,345.758,363.242
0.987,345.764,363.257
0.988,345.770,363.272
0.989,345.776,363.287
0.990,345.782,363.302
0.991,345.787,363.316
0.992,345.793,363.331
0.993,345.799,363.346
0.994,345.805,363.361
0.995,345.811,363.376
0.996,345.817,363.391
0.997,345.822,363.405
0.998,345.828,363.420
0.999,345.834,363.435
1.000,345.840,363.450
1.001,345.846,363.465
1.002,345.852,363.480
1.003,345.858,363.495
1.004,345.863,363.509
1.005,345.869,363.524
1.006,345.875,363.539
1.007,345.881,363.554
1.008,345.887,363.569
1.009,345.893,363.584
1.010,345.898,363.599
1.011,345.904,363.613
1.012,345.910,363.628
1.013,345.916,363.643
1.014,345.922,363.658
1.015,345.928,363.673
1.016,345.933,363.688
1.017,345.939,363.702
1.018,345.945,363.717
1.019,345.951,363.732
1.020,345.957,363.747
1.021,345.963,363.762
1.022,345.968,363.777
1.023,345.974,363.792
1.024,345.980,363.806
1.025,345.986,363.821
1.026,345.992,363.836
1.027,345.998,363.851
1.028,346.004,363.866
1.029,346.009,363.881
1.030,346.015,363.896
1.031,346.021,363.910
1.032,346.027,363.925
1.033,346.033,363.940
1.034,346.039,363.955
1.035,346.044,363.970
1.036,346.050,363.985
1.037,346.056,363.999
1.038,346.062,364.014
1.039,346.068,364.029
1.040,346.074,364.044
1.041,346.079,364.059
1.042,346.085,364.074
1.043,346.091,364.089
1.044,346.097,364.103
1.045,346.103,364.118
1.046,346.109,364.133
1.047,346.114,364.148
1.048,346.120,364.163
1.049,346.126,364.178
1.050,346.132,364.193
1.051,346.138,364.207
1.052,346.144,364.222
1.053,346.150,364.237
1.054,346.155,364.252
1.055,346.161,364.267
1.056,346.167,364.282
1.057,346.173,364.296
1.058,346.179,364.311
1.059,346.185,364.326
1.060,346.190,364.341
1.061,346.196,364.356
1.062,346.202,364.371
1.063,346.208,364.386
1.064,346.214,364.400
1.065,346.220,364.415
1.066,346.225,364.430
1.067,346.231,364.445
1.068,346.237,364.460
1.069,346.243,364.475
1.070,346.249,364.490
1.071,346.255,364.504
1.072,346.260,364.519
1.073,346.266,364.534
1.074,346.272,364.549
1.075,346.278,364.564
1.076,346.284,364.579
1.077,346.290,364.593
1.078,346.296,364.608
1.079,346.301,364.623
1.080,346.307,364.638
1.081,346.313,364.653
1.082,346.319,364.668
1.083,346.325,364.683
1.084,346.331,364.697
1.085,346.336,364.712
1.086,346.342,364.727
1.087,346.348,364.742
1.088,346.354,364.757
1.089,346.360,364.772
1.090,346.366,364.787
1.091,346.371,364.801
1.092,346.377,364.816
1.093,346.383,364.831
1.094,346.389,364.846
1.095,346.395,364.861
1.096,346.401,364.876
1.097,346.406,364.890
1.098,346.412,364.905
1.099,346.418,364.920
1.100,346.424,364.935
1.101,346.430,364.950
1.102,346.436,364.965
1.103,346.442,364.980
1.104,346.447,364.994
1.105,346.453,365.009
1.106,346.459,365.024
1.107,346.465,365.039
1.108,346.471,365.054
1.109,346.477,365.069
1.110,346.482,365.084
1.111,346.488,365.098
1.112,346.494,365.113
1.113,346.500,365.128
1.114,346.506,365.143
1.115,346.512,365.158
1.116,346.517,365.173
1.117,346.523,365.187
