time,imsi,cellId,isServingCell?,RSRP(dBm),RSRQ(dB)
0.266,2,6,0,-82.332,-36.348
0.266,2,7,0,-51.236,-5.252
0.266,2,8,0,-79.918,-33.934
0.266,2,9,0,-79.462,-33.478
0.271,1,1,1,-60.478,-10.365
0.271,1,2,0,-89.737,-39.624
0.271,1,3,0,-89.737,-39.624
0.271,1,4,0,-56.628,-6.515
0.271,1,5,0,-72.669,-22.556
0.271,1,6,0,-82.751,-32.639
0.271,1,7,0,-57.607,-7.494
0.271,1,8,0,-86.470,-36.358
0.271,1,9,0,-85.132,-35.019
0.271,2,1,1,-60.559,-14.575
0.271,2,2,0,-74.788,-28.804
0.271,2,3,0,-86.166,-40.182
0.271,2,4,0,-79.618,-33.634
0.271,2,5,0,-53.841,-7.857
0.271,2,6,0,-82.331,-36.348
0.271,2,7,0,-51.236,-5.252
0.271,2,8,0,-79.918,-33.934
0.271,2,9,0,-79.460,-33.477
0.276,1,1,1,-60.480,-10.365
0.276,1,2,0,-89.738,-39.624
0.276,1,3,0,-89.738,-39.624
0.276,1,4,0,-56.631,-6.516
0.276,1,5,0,-72.672,-22.557
0.276,1,6,0,-82.754,-32.640
0.276,1,7,0,-57.606,-7.492
0.276,1,8,0,-86.472,-36.357
0.276,1,9,0,-85.139,-35.025
0.276,2,1,1,-60.558,-14.574
0.276,2,2,0,-74.793,-28.810
0.276,2,3,0,-86.167,-40.184
0.276,2,4,0,-79.608,-33.625
0.276,2,5,0,-53.841,-7.858
0.276,2,6,0,-82.330,-36.347
0.276,2,7,0,-51.235,-5.252
0.276,2,8,0,-79.918,-33.934
0.276,2,9,0,-79.459,-33.476
0.281,1,1,1,-60.481,-10.365
0.281,1,2,0,-89.740,-39.624
0.281,1,3,0,-89.740,-39.624
0.281,1,4,0,-56.634,-6.517
0.281,1,5,0,-72.674,-22.558
0.281,1,6,0,-82.757,-32.641
0.281,1,7,0,-57.606,-7.490
0.281,1,8,0,-86.473,-36.357
0.281,1,9,0,-85.147,-35.031
0.281,2,1,1,-60.557,-14.573
0.281,2,2,0,-74.798,-28.815
0.281,2,3,0,-86.168,-40.184
0.281,2,4,0,-79.599,-33.615
0.281,2,5,0,-53.842,-7.859
0.281,2,6,0,-82.329,-36.346
0.281,2,7,0,-51.234,-5.251
0.281,2,8,0,-79.917,-33.934
0.281,2,9,0,-79.458,-33.475
0.286,1,1,1,-60.483,-10.365
0.286,1,2,0,-89.741,-39.623
0.286,1,3,0,-89.741,-39.623
0.286,1,4,0,-56.637,-6.519
0.286,1,5,0,-72.677,-22.559
0.286,1,6,0,-82.760,-32.642
0.286,1,7,0,-57.606,-7.488
0.286,1,8,0,-86.474,-36.356
0.286,1,9,0,-85.154,-35.036
0.286,2,1,1,-60.556,-14.572
0.286,2,2,0,-74.804,-28.820
0.286,2,3,0,-86.169,-40.185
0.286,2,4,0,-79.590,-33.606
0.286,2,5,0,-53.843,-7.860
0.286,2,6,0,-82.328,-36.345
0.286,2,7,0,-51.234,-5.251
0.286,2,8,0,-79.917,-33.934
0.286,2,9,0,-79.457,-33.474
0.291,1,1,1,-60.485,-10.365
0.291,1,2,0,-89.743,-39.623
0.291,1,3,0,-89.743,-39.623
0.291,1,4,0,-56.640,-6.520
0.291,1,5,0,-72.679,-22.560
0.291,1,6,0,-82.763,-32.643
0.291,1,7,0,-57.606,-7.487
0.291,1,8,0,-86.475,-36.356
0.291,1,9,0,-85.162,-35.042
0.291,2,1,1,-60.554,-14.571
0.291,2,2,0,-74.809,-28.826
0.291,2,3,0,-86.170,-40.187
0.291,2,4,0,-79.580,-33.597
0.291,2,5,0,-53.844,-7.861
0.291,2,6,0,-82.327,-36.344
0.291,2,7,0,-51.233,-5.250
0.291,2,8,0,-79.917,-33.933
0.291,2,9,0,-79.456,-33.473
