time,bytesRx,mac_address
3.250,536,04-07-07:00:00:03:a0:0f:00
3.252,536,04-07-07:00:00:03:a0:0f:00
3.253,536,04-07-07:00:00:03:a0:0f:00
3.255,536,04-07-07:00:00:03:a0:0f:00
3.256,536,04-07-07:00:00:03:a0:0f:00
3.257,536,04-07-07:00:00:03:a0:0f:00
3.259,536,04-07-07:00:00:03:a0:0f:00
3.260,536,04-07-07:00:00:03:a0:0f:00
3.262,536,04-07-07:00:00:03:a0:0f:00
3.263,536,04-07-07:00:00:03:a0:0f:00
3.264,536,04-07-07:00:00:03:a0:0f:00
3.266,536,04-07-07:00:00:03:a0:0f:00
3.267,536,04-07-07:00:00:03:a0:0f:00
3.269,536,04-07-07:00:00:03:a0:0f:00
3.270,536,04-07-07:00:00:03:a0:0f:00
3.272,536,04-07-07:00:00:03:a0:0f:00
3.324,536,04-07-07:00:00:03:a0:0f:00
3.331,11256,04-07-07:00:00:03:a0:0f:00
3.335,536,04-07-07:00:00:03:a0:0f:00
3.339,536,04-07-07:00:00:03:a0:0f:00
3.343,536,04-07-07:00:00:03:a0:0f:00
3.347,536,04-07-07:00:00:03:a0:0f:00
3.357,536,04-07-07:00:00:03:a0:0f:00
3.358,536,04-07-07:00:00:03:a0:0f:00
3.360,536,04-07-07:00:00:03:a0:0f:00
3.367,536,04-07-07:00:00:03:a0:0f:00
3.375,536,04-07-07:00:00:03:a0:0f:00
3.376,536,04-07-07:00:00:03:a0:0f:00
3.383,536,04-07-07:00:00:03:a0:0f:00
3.384,536,04-07-07:00:00:03:a0:0f:00
3.401,536,04-07-07:00:00:03:a0:0f:00
3.402,536,04-07-07:00:00:03:a0:0f:00
3.404,536,04-07-07:00:00:03:a0:0f:00
3.405,536,04-07-07:00:00:03:a0:0f:00
3.407,536,04-07-07:00:00:03:a0:0f:00
3.419,536,04-07-07:00:00:03:a0:0f:00
3.420,536,04-07-07:00:00:03:a0:0f:00
3.427,536,04-07-07:00:00:03:a0:0f:00
3.428,536,04-07-07:00:00:03:a0:0f:00
3.445,536,04-07-07:00:00:03:a0:0f:00
3.446,536,04-07-07:00:00:03:a0:0f:00
3.448,536,04-07-07:00:00:03:a0:0f:00
3.449,536,04-07-07:00:00:03:a0:0f:00
3.455,536,04-07-07:00:00:03:a0:0f:00
3.456,536,04-07-07:00:00:03:a0:0f:00
3.463,536,04-07-07:00:00:03:a0:0f:00
3.464,536,04-07-07:00:00:03:a0:0f:00
3.481,536,04-07-07:00:00:03:a0:0f:00
3.482,536,04-07-07:00:00:03:a0:0f:00
3.484,536,04-07-07:00:00:03:a0:0f:00
3.485,536,04-07-07:00:00:03:a0:0f:00
3.491,536,04-07-07:00:00:03:a0:0f:00
3.492,536,04-07-07:00:00:03:a0:0f:00
3.494,536,04-07-07:00:00:03:a0:0f:00
3.499,536,04-07-07:00:00:03:a0:0f:00
3.500,536,04-07-07:00:00:03:a0:0f:00
